Name,playerid,WAR29,WAR30,WAR31,WAR32
Mike DeJean,682,-0.1,0.8,0.4,-0.4
Jon Lester,4930,3.3,5.4,4.8,4.2
Stan Bahnsen,1000414,1.1,1.7,1.1,0.8
Denny Lemaster,1007512,2.7,3.8,0.7,-0.1
Mike Williams,1014,1.6,0.3,0.4,0.0
Doug Bird,1000976,0.0,0.4,1.5,1.1
Keith Foulke,231,1.3,1.8,1.6,-0.4
Mariano Rivera,844,2.1,1.9,3.2,1.4
Jonathan Papelbon,5975,1.0,3.0,1.4,1.1
Mudcat Grant,1004952,3.0,3.6,1.1,0.5
Fred Norman,1009632,2.2,1.6,3.2,0.6
Bill Swift,1012788,1.6,2.7,4.5,1.6
Mark Buehrle,225,4.3,3.0,4.0,3.1
Scott Sullivan,357,0.9,1.0,-0.2,0.5
Joe Smith,3281,0.5,0.9,0.9,-0.3
Jim Bibby,1000945,1.9,2.6,2.5,3.8
Mike Maddux,1007951,1.4,1.5,1.1,-0.1
Juan Berenguer,1000865,2.2,0.9,0.8,2.3
Dick Hall,1005241,1.9,2.7,2.2,1.1
Jim Deshaies,1003228,2.7,0.8,0.1,1.1
Kerry Ligtenberg,100,0.4,0.5,0.3,0.6
Jerry Johnson,1006464,-0.2,0.2,-0.3,0.1
Joel Peralta,2332,0.0,0.6,0.8,-0.8
Donne Wall,39,-0.3,0.3,0.0,0.4
Fergie Jenkins,1006388,4.8,4.2,7.8,2.7
Don Sutton,1012745,4.7,5.4,3.3,3.8
Cory Lidle,926,2.6,3.7,2.3,2.7
Jose Mesa,961,2.1,1.4,1.0,0.4
Matt Garza,3340,2.1,2.5,0.4,1.2
Bobby Bolin,1001146,2.6,1.0,0.0,0.5
Steve Hamilton,1005277,1.3,0.7,0.0,1.1
Atlee Hammaker,1005281,1.4,0.8,0.4,0.4
Don Robinson,1011061,0.5,1.5,2.7,1.7
CC Sabathia,404,5.5,5.8,4.0,2.1
Eddie Watt,1013684,0.1,0.8,-0.1,-0.1
Fernando Rodney,494,0.5,0.6,0.3,0.3
Jose Valverde,1726,1.4,1.1,0.8,0.6
Gary Lucas,1007805,0.4,-0.1,1.5,0.3
Ron Darling,1002989,0.2,1.5,2.5,1.0
Jeff Montgomery,1009071,1.6,1.4,2.6,1.0
Dan Wheeler,120,0.8,0.3,0.1,0.1
Terry Mulholland,665,3.8,2.9,0.5,0.1
Dan Haren,1757,3.6,5.9,1.8,1.5
Turk Farrell,1003950,4.3,1.2,3.3,1.0
Milt Pappas,1009989,2.2,1.4,3.3,3.3
Brad Radke,748,2.1,2.8,5.0,2.2
Esteban Loaiza,1310,2.1,2.3,6.9,1.2
Cal Eldred,1653,0.8,1.1,-0.4,1.9
Dave Giusti,1004748,1.2,1.3,0.4,1.1
Greg Harris,1005415,2.0,1.4,1.7,-0.1
Greg McMichael,1008640,1.7,1.4,-0.4,-0.5
Jerry Reuss,1010853,1.0,2.9,4.6,2.5
Pedro Astacio,862,4.2,3.5,3.2,1.0
Jeff Nelson,1092,1.3,1.0,0.4,0.3
Mike Bielecki,1000951,3.2,1.8,1.0,2.0
George Brunet,1001590,0.6,3.8,0.9,2.6
Russ Ortiz,1124,3.0,1.6,-0.3,-1.0
Jon Rauch,1475,0.9,0.6,1.3,-0.6
Brian Duensing,4064,1.5,0.9,-0.1,-0.4
Joe Saunders,4366,1.2,0.3,2.0,0.5
Billy O'Dell,1009724,2.9,6.4,2.6,-0.2
Cliff Politte,967,-0.3,0.4,1.1,-0.7
John Axford,9059,-0.1,-0.5,-0.4,0.8
Mark Petkovsek,1010242,1.8,0.0,-0.5,0.7
Rick Rhoden,1010887,3.6,5.0,4.3,2.7
Andy Ashby,637,3.8,3.2,2.7,1.9
Bob Wells,760,0.6,0.1,-0.6,0.5
Chris Sampson,2651,0.3,1.8,0.7,-0.6
Jim Owens,1009923,-0.4,1.8,0.5,-0.1
John Burkett,179,2.4,2.2,4.6,4.6
Shawn Camp,1855,0.2,0.4,-0.4,0.6
Jesse Chavez,5448,0.7,1.6,2.5,-0.2
Mike Krukow,1007185,2.1,3.8,2.0,1.4
Juan Marichal,1008106,3.7,5.9,7.8,3.2
John Montefusco,1009065,0.7,0.4,0.1,1.8
Jeremy Guthrie,2072,2.2,1.3,2.4,1.8
Paul Assenmacher,1000344,1.4,2.2,0.7,0.5
Scott McGregor,1008546,3.7,2.1,0.6,0.9
Jamey Wright,715,0.6,0.6,0.8,0.4
Mike Trombley,758,1.7,1.0,-0.1,0.5
Heathcliff Slocumb,1012069,1.2,1.9,0.2,0.2
Alfredo Simon,2155,-0.8,0.9,0.5,0.1
Jack Aker,1000097,0.6,-0.1,0.3,-0.3
Chuck McElroy,1008477,1.4,1.9,-0.2,0.5
Jeff Shaw,1011823,1.2,2.3,1.2,1.1
Bob Turley,1013225,1.2,-0.5,-0.3,1.0
Roger Clemens,815,7.6,3.7,4.2,2.4
Cesar Ramos,3357,0.1,-0.2,0.6,-0.6
Jim Johnson,3656,1.3,0.9,-0.7,0.3
Jim Barr,1000606,3.1,2.1,1.6,-0.7
Eddie Fisher,1004085,0.6,0.1,0.2,0.2
Eric Show,1011937,1.6,1.3,1.3,3.0
Ron Herbel,1005685,0.5,-0.6,0.3,-0.6
Greg Minton,1008986,0.5,0.7,-0.4,-0.5
Bill Wegman,1013727,3.1,1.2,1.8,-0.1
Paul Lindblad,1007614,0.3,0.2,-0.3,1.5
Tom Murphy,1009376,0.1,-0.2,-0.2,-0.6
Curtis Leskanic,694,0.4,0.2,1.0,0.5
Aaron Fultz,1113,0.2,0.1,0.6,0.8
Jerome Williams,1137,0.3,0.9,0.3,0.3
Doug Fister,9425,4.0,1.5,0.1,0.8
Carlos Torres,7624,0.5,0.3,0.2,0.3
Dave Hamilton,1005271,0.2,-0.7,0.9,-1.1
Jim Perry,1010213,1.7,2.9,1.8,2.3
Pete Richert,1010922,0.7,0.8,0.1,0.3
Brian Fuentes,429,1.5,0.9,0.9,2.5
Scott Kazmir,4897,2.5,3.4,2.3,1.0
Roy Halladay,1303,5.1,5.1,6.6,7.0
Aaron Harang,1451,5.4,1.4,2.2,0.7
Tom Timmermann,1013071,0.9,1.0,0.4,1.9
Dennis Cook,8,0.0,0.0,0.2,0.2
