"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Fernando Rodney","    494","0.4","0.5","0.6","0.3","0.3","0.2","-0.4","2.2","1.2","1","-0.8","0.4","1.3","A"
"Ron Darling","1002989","0.6","1","2.2","3.5","2","2.6","2.7","0.2","1.5","2.5","1","2.3","0.7","B"
"Terry Mulholland","    665","0.2","0.6","1.4","2.4","4.6","3.8","2.9","0.5","0.1","2.5","1.3","1.4","2.1","B"
"Dan Haren","   1757","0.7","0.5","3.7","3.8","4.7","6.1","5.3","3.6","5.9","1.8","1.5","1.7","1","C"
"Larry Andersen","1000236","1.1","-0.7","0.8","0.4","0.8","1.3","1.4","2.3","2.7","1.7","0.8","1.5","0.3","A"
"Tommy John","1006515","1.1","3","3.8","2.6","2.9","3.8","4.4","4.5","3","3.3","3.7","3.5","5.1","G"
"Milt Pappas","1009989","3","1.4","1.2","2.1","4.8","3","3.7","3.8","2.2","1.4","3.3","3.3","3.1","G"
"Esteban Loaiza","   1310","1.2","-0.2","2.9","1","2.5","2.9","2.1","2.3","6.9","1.2","4.7","2.4","-0.5","C"
"Dave Giusti","1004748","0.4","1","2","2.7","3.8","1.2","1.3","0.4","1.1","0.2","1.7","0.4","-0.6","B"
"Greg Harris","1005415","0.4","0.2","0.3","2","1.4","1.7","-0.1","-0.1","2.6","2.5","0.5","1.2","-0.2","A"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","1","2.9","4.6","2.5","5.5","G"
"Pedro Astacio","    862","1.8","2.6","1.5","1","2.6","3","1.6","4.2","3.5","3.2","1","-0.4","1.3","D"
"Jeff Nelson","   1092","-0.5","0.4","0.4","2.2","1.3","1","0.4","0.3","1.3","1.1","0.5","1.1","0.1","A"
"Bob McClure","1008400","1.4","-0.5","-0.1","0.6","0.8","0.9","1.6","0.2","0.9","-0.3","-0.2","1","0","A"
